FeedbackID,InterviewID,FeedbackText,SentimentScore
F3040,I2040,Very good culture fit and leadership potential. Noted experience in NLP.,0.774
F3041,I2041,Very good culture fit and leadership potential. Noted experience in Recruitment.,0.797
F3042,I2042,Not a strong fit for the role currently. Noted experience in Computer Vision.,0.413
F3043,I2043,Communication was weak; needs improvement. Noted experience in Linux.,0.108
F3044,I2044,Average performance; showed potential with some gaps. Noted experience in Numpy.,0.678
F3045,I2045,Good skills but needs more industry experience. Noted experience in Machine Learning.,0.74
F3046,I2046,Mixed answers; structure could improve. Noted experience in Power BI.,0.71
F3047,I2047,Average performance; showed potential with some gaps. Noted experience in Leadership.,0.498
F3048,I2048,"Confident presenter, handled questions well. Noted experience in Python.",0.829
F3049,I2049,Average performance; showed potential with some gaps. Noted experience in SQL.,0.565
F3050,I2050,Mixed answers; structure could improve. Noted experience in Computer Vision.,0.503
F3051,I2051,Good skills but needs more industry experience. Noted experience in HR Policies.,0.463
F3052,I2052,Very good culture fit and leadership potential. Noted experience in JavaScript.,0.846
F3053,I2053,Good skills but needs more industry experience. Noted experience in APIs.,0.746
F3054,I2054,Communication was weak; needs improvement. Noted experience in APIs.,0.443
F3055,I2055,Struggled with problem solving and coding tasks. Noted experience in APIs.,0.425
F3056,I2056,Strong analytical skills and clear communication. Noted experience in APIs.,0.802
F3057,I2057,Excellent technical skills; solved problems well. Noted experience in Excel.,0.971
F3058,I2058,Struggled with problem solving and coding tasks. Noted experience in HR Policies.,0.224
F3059,I2059,Good skills but needs more industry experience. Noted experience in Deep Learning.,0.692
F3060,I2060,Not a strong fit for the role currently. Noted experience in NLP.,0.301
F3061,I2061,Average performance; showed potential with some gaps. Noted experience in Pandas.,0.581
F3062,I2062,Struggled with problem solving and coding tasks. Noted experience in Pandas.,0.331
F3063,I2063,"Confident presenter, handled questions well. Noted experience in JavaScript.",0.939
F3064,I2064,Good skills but needs more industry experience. Noted experience in React.,0.655
F3065,I2065,Mixed answers; structure could improve. Noted experience in Flask.,0.523
F3066,I2066,Good skills but needs more industry experience. Noted experience in Python.,0.726
F3067,I2067,Excellent technical skills; solved problems well. Noted experience in JavaScript.,0.883
F3068,I2068,Mixed answers; structure could improve. Noted experience in Flask.,0.672
F3069,I2069,Strong analytical skills and clear communication. Noted experience in Machine Learning.,0.762
F3070,I2070,Good skills but needs more industry experience. Noted experience in Django.,0.748
F3071,I2071,Mixed answers; structure could improve. Noted experience in Interviewing.,0.612
F3072,I2072,Mixed answers; structure could improve. Noted experience in Docker.,0.584
F3073,I2073,Average performance; showed potential with some gaps. Noted experience in DAX.,0.528
F3074,I2074,Mixed answers; structure could improve. Noted experience in Docker.,0.587
F3075,I2075,Not a strong fit for the role currently. Noted experience in Git.,0.408
F3076,I2076,Mixed answers; structure could improve. Noted experience in Flask.,0.572
F3077,I2077,Good skills but needs more industry experience. Noted experience in Recruitment.,0.714
F3078,I2078,Strong analytical skills and clear communication. Noted experience in Computer Vision.,0.937
F3079,I2079,Good skills but needs more industry experience. Noted experience in Data Visualization.,0.61
F3080,I2080,Average performance; showed potential with some gaps. Noted experience in Data Visualization.,0.489
F3081,I2081,Very good culture fit and leadership potential. Noted experience in Deep Learning.,0.757
F3082,I2082,Average performance; showed potential with some gaps. Noted experience in Power BI.,0.56
F3083,I2083,"Confident presenter, handled questions well. Noted experience in JavaScript.",0.795
F3084,I2084,Good skills but needs more industry experience. Noted experience in React.,0.671
F3085,I2085,Very good culture fit and leadership potential. Noted experience in SQL.,0.788
F3086,I2086,Average performance; showed potential with some gaps. Noted experience in Machine Learning.,0.677
F3087,I2087,"Confident presenter, handled questions well. Noted experience in Linux.",0.802
F3088,I2088,Excellent technical skills; solved problems well. Noted experience in SQL.,0.798
F3089,I2089,Very good culture fit and leadership potential. Noted experience in Flask.,0.781
F3090,I2090,Not a strong fit for the role currently. Noted experience in HR Policies.,0.319
F3091,I2091,Mixed answers; structure could improve. Noted experience in Pandas.,0.697
F3092,I2092,Excellent technical skills; solved problems well. Noted experience in Flask.,0.884
F3093,I2093,Good skills but needs more industry experience. Noted experience in Linux.,0.541
F3094,I2094,Average performance; showed potential with some gaps. Noted experience in Flask.,0.672
F3095,I2095,Mixed answers; structure could improve. Noted experience in Interviewing.,0.656
F3096,I2096,Not a strong fit for the role currently. Noted experience in Cloud (Azure/AWS).,0.43
F3097,I2097,Strong analytical skills and clear communication. Noted experience in Data Visualization.,0.91
F3098,I2098,Good skills but needs more industry experience. Noted experience in Data Visualization.,0.712
F3099,I2099,Excellent technical skills; solved problems well. Noted experience in Pandas.,0.841
F3100,I2100,Very good culture fit and leadership potential. Noted experience in DAX.,0.803
F3101,I2101,Good skills but needs more industry experience. Noted experience in Stakeholder Management.,0.597
F3102,I2102,Struggled with problem solving and coding tasks. Noted experience in Leadership.,0.331
F3103,I2103,"Confident presenter, handled questions well. Noted experience in SQL.",0.88
F3104,I2104,Strong analytical skills and clear communication. Noted experience in NLP.,0.77
F3105,I2105,Struggled with problem solving and coding tasks. Noted experience in JavaScript.,0.393
F3106,I2106,Average performance; showed potential with some gaps. Noted experience in Recruitment.,0.474
F3107,I2107,Not a strong fit for the role currently. Noted experience in Linux.,0.205
F3108,I2108,Mixed answers; structure could improve. Noted experience in HR Policies.,0.67
F3109,I2109,Good skills but needs more industry experience. Noted experience in Deep Learning.,0.625
F3110,I2110,Mixed answers; structure could improve. Noted experience in HR Policies.,0.579
F3111,I2111,Average performance; showed potential with some gaps. Noted experience in Deep Learning.,0.505
F3112,I2112,Average performance; showed potential with some gaps. Noted experience in Python.,0.516
F3113,I2113,Average performance; showed potential with some gaps. Noted experience in Kubernetes.,0.724
F3114,I2114,Strong analytical skills and clear communication. Noted experience in DAX.,0.901
F3115,I2115,Struggled with problem solving and coding tasks. Noted experience in Computer Vision.,0.404
F3116,I2116,Struggled with problem solving and coding tasks. Noted experience in Computer Vision.,0.238
F3117,I2117,Excellent technical skills; solved problems well. Noted experience in SQL.,0.771
F3118,I2118,Good skills but needs more industry experience. Noted experience in NLP.,0.595
F3119,I2119,Mixed answers; structure could improve. Noted experience in DAX.,0.631
F3120,I2120,Mixed answers; structure could improve. Noted experience in NLP.,0.65
F3121,I2121,Mixed answers; structure could improve. Noted experience in Tableau.,0.501
F3122,I2122,Good skills but needs more industry experience. Noted experience in Tableau.,0.688
F3123,I2123,Average performance; showed potential with some gaps. Noted experience in Computer Vision.,0.51
F3124,I2124,Very good culture fit and leadership potential. Noted experience in Computer Vision.,0.843
F3125,I2125,Struggled with problem solving and coding tasks. Noted experience in Deep Learning.,0.399
F3126,I2126,Mixed answers; structure could improve. Noted experience in NLP.,0.566
F3127,I2127,Not a strong fit for the role currently. Noted experience in Kubernetes.,0.369
F3128,I2128,Mixed answers; structure could improve. Noted experience in JavaScript.,0.516
F3129,I2129,Communication was weak; needs improvement. Noted experience in Django.,0.418
F3130,I2130,Average performance; showed potential with some gaps. Noted experience in Python.,0.559
F3131,I2131,Strong analytical skills and clear communication. Noted experience in Cloud (Azure/AWS).,0.837
F3132,I2132,Communication was weak; needs improvement. Noted experience in Django.,0.424
F3133,I2133,Good skills but needs more industry experience. Noted experience in Stakeholder Management.,0.744
F3134,I2134,Mixed answers; structure could improve. Noted experience in HR Policies.,0.585
F3135,I2135,Communication was weak; needs improvement. Noted experience in APIs.,0.133
F3136,I2136,Average performance; showed potential with some gaps. Noted experience in Machine Learning.,0.49
F3137,I2137,Excellent technical skills; solved problems well. Noted experience in Excel.,0.77
F3138,I2138,Strong analytical skills and clear communication. Noted experience in SQL.,0.765
F3139,I2139,Average performance; showed potential with some gaps. Noted experience in JavaScript.,0.58
F3140,I2140,Communication was weak; needs improvement. Noted experience in Machine Learning.,0.106
F3141,I2141,Mixed answers; structure could improve. Noted experience in React.,0.718
F3142,I2142,Mixed answers; structure could improve. Noted experience in Flask.,0.724
F3143,I2143,Mixed answers; structure could improve. Noted experience in Stakeholder Management.,0.703
F3144,I2144,Mixed answers; structure could improve. Noted experience in Interviewing.,0.588
F3145,I2145,Average performance; showed potential with some gaps. Noted experience in Data Visualization.,0.697
F3146,I2146,Good skills but needs more industry experience. Noted experience in JavaScript.,0.564
F3147,I2147,Very good culture fit and leadership potential. Noted experience in Recruitment.,0.775
F3148,I2148,Average performance; showed potential with some gaps. Noted experience in JavaScript.,0.544
F3149,I2149,Good skills but needs more industry experience. Noted experience in Recruitment.,0.527
F3150,I2150,Mixed answers; structure could improve. Noted experience in Statistics.,0.57
F3151,I2151,Very good culture fit and leadership potential. Noted experience in Cloud (Azure/AWS).,0.756
F3152,I2152,Mixed answers; structure could improve. Noted experience in Data Visualization.,0.665
F3153,I2153,Mixed answers; structure could improve. Noted experience in Stakeholder Management.,0.511
F3154,I2154,Communication was weak; needs improvement. Noted experience in Python.,0.423
F3155,I2155,Average performance; showed potential with some gaps. Noted experience in Communication.,0.747
F3156,I2156,Average performance; showed potential with some gaps. Noted experience in Leadership.,0.601
F3157,I2157,Mixed answers; structure could improve. Noted experience in Communication.,0.506
F3158,I2158,Excellent technical skills; solved problems well. Noted experience in Numpy.,0.8
F3159,I2159,"Confident presenter, handled questions well. Noted experience in Communication.",0.753
F3160,I2160,Excellent technical skills; solved problems well. Noted experience in Tableau.,0.821
F3161,I2161,Strong analytical skills and clear communication. Noted experience in JavaScript.,0.869
F3162,I2162,Average performance; showed potential with some gaps. Noted experience in Leadership.,0.648
F3163,I2163,Strong analytical skills and clear communication. Noted experience in Communication.,0.98
F3164,I2164,"Confident presenter, handled questions well. Noted experience in DAX.",0.794
F3165,I2165,Strong analytical skills and clear communication. Noted experience in DAX.,0.767
F3166,I2166,Good skills but needs more industry experience. Noted experience in Power BI.,0.662
F3167,I2167,Average performance; showed potential with some gaps. Noted experience in Pandas.,0.474
F3168,I2168,Excellent technical skills; solved problems well. Noted experience in Recruitment.,0.937
F3169,I2169,Communication was weak; needs improvement. Noted experience in DAX.,0.279
F3170,I2170,Good skills but needs more industry experience. Noted experience in Computer Vision.,0.742
F3171,I2171,Very good culture fit and leadership potential. Noted experience in Computer Vision.,0.98
F3172,I2172,Mixed answers; structure could improve. Noted experience in DAX.,0.73
F3173,I2173,Mixed answers; structure could improve. Noted experience in Flask.,0.712
F3174,I2174,"Confident presenter, handled questions well. Noted experience in Excel.",0.907
F3175,I2175,Good skills but needs more industry experience. Noted experience in Statistics.,0.715
F3176,I2176,Good skills but needs more industry experience. Noted experience in Machine Learning.,0.642
F3177,I2177,Mixed answers; structure could improve. Noted experience in JavaScript.,0.721
F3178,I2178,Excellent technical skills; solved problems well. Noted experience in JavaScript.,0.936
F3179,I2179,Mixed answers; structure could improve. Noted experience in Flask.,0.57
F3180,I2180,Very good culture fit and leadership potential. Noted experience in DAX.,0.957
F3181,I2181,Average performance; showed potential with some gaps. Noted experience in Python.,0.613
F3182,I2182,Average performance; showed potential with some gaps. Noted experience in Deep Learning.,0.498
F3183,I2183,Excellent technical skills; solved problems well. Noted experience in React.,0.98
F3184,I2184,Average performance; showed potential with some gaps. Noted experience in Git.,0.585
F3185,I2185,Not a strong fit for the role currently. Noted experience in Python.,0.312
F3186,I2186,Average performance; showed potential with some gaps. Noted experience in React.,0.6
F3187,I2187,Average performance; showed potential with some gaps. Noted experience in Git.,0.658
F3188,I2188,Struggled with problem solving and coding tasks. Noted experience in Django.,0.265
F3189,I2189,Very good culture fit and leadership potential. Noted experience in HR Policies.,0.969
F3190,I2190,Not a strong fit for the role currently. Noted experience in NLP.,0.336
F3191,I2191,Average performance; showed potential with some gaps. Noted experience in Power BI.,0.702
F3192,I2192,Average performance; showed potential with some gaps. Noted experience in Recruitment.,0.575
F3193,I2193,Average performance; showed potential with some gaps. Noted experience in Python.,0.601
F3194,I2194,Good skills but needs more industry experience. Noted experience in Kubernetes.,0.571
F3195,I2195,Good skills but needs more industry experience. Noted experience in APIs.,0.549
F3196,I2196,Excellent technical skills; solved problems well. Noted experience in Kubernetes.,0.79
F3197,I2197,Struggled with problem solving and coding tasks. Noted experience in Python.,0.438
F3198,I2198,Mixed answers; structure could improve. Noted experience in HR Policies.,0.468
F3199,I2199,Good skills but needs more industry experience. Noted experience in Python.,0.573
F3200,I2200,Mixed answers; structure could improve. Noted experience in Deep Learning.,0.671
F3201,I2201,"Confident presenter, handled questions well. Noted experience in Deep Learning.",0.962
F3202,I2202,Mixed answers; structure could improve. Noted experience in Excel.,0.585
F3203,I2203,Mixed answers; structure could improve. Noted experience in Pandas.,0.661
F3204,I2204,Average performance; showed potential with some gaps. Noted experience in Pandas.,0.544
F3205,I2205,Not a strong fit for the role currently. Noted experience in Linux.,0.386
F3206,I2206,Average performance; showed potential with some gaps. Noted experience in HR Policies.,0.688
F3207,I2207,Communication was weak; needs improvement. Noted experience in HR Policies.,0.25
F3208,I2208,Not a strong fit for the role currently. Noted experience in APIs.,0.318
F3209,I2209,Very good culture fit and leadership potential. Noted experience in HR Policies.,0.826
F3210,I2210,Excellent technical skills; solved problems well. Noted experience in Docker.,0.788
F3211,I2211,Mixed answers; structure could improve. Noted experience in Leadership.,0.541
F3212,I2212,Struggled with problem solving and coding tasks. Noted experience in NLP.,0.392
F3213,I2213,Average performance; showed potential with some gaps. Noted experience in Numpy.,0.727
F3214,I2214,Average performance; showed potential with some gaps. Noted experience in HR Policies.,0.673
F3215,I2215,Communication was weak; needs improvement. Noted experience in Cloud (Azure/AWS).,0.363
F3216,I2216,Excellent technical skills; solved problems well. Noted experience in Docker.,0.836
F3217,I2217,Good skills but needs more industry experience. Noted experience in Data Visualization.,0.48
F3218,I2218,Average performance; showed potential with some gaps. Noted experience in Statistics.,0.719
F3219,I2219,Communication was weak; needs improvement. Noted experience in Django.,0.424
F3220,I2220,Excellent technical skills; solved problems well. Noted experience in Leadership.,0.887
F3221,I2221,Struggled with problem solving and coding tasks. Noted experience in JavaScript.,0.305
F3222,I2222,Good skills but needs more industry experience. Noted experience in Django.,0.723
F3223,I2223,Mixed answers; structure could improve. Noted experience in Django.,0.611
F3224,I2224,"Confident presenter, handled questions well. Noted experience in Communication.",0.95
F3225,I2225,Struggled with problem solving and coding tasks. Noted experience in Computer Vision.,0.301
F3226,I2226,Not a strong fit for the role currently. Noted experience in Communication.,0.376
F3227,I2227,Good skills but needs more industry experience. Noted experience in SQL.,0.584
F3228,I2228,Excellent technical skills; solved problems well. Noted experience in SQL.,0.837
F3229,I2229,Average performance; showed potential with some gaps. Noted experience in Docker.,0.686
F3230,I2230,Average performance; showed potential with some gaps. Noted experience in Kubernetes.,0.642
F3231,I2231,Average performance; showed potential with some gaps. Noted experience in Communication.,0.678
F3232,I2232,Not a strong fit for the role currently. Noted experience in Numpy.,0.409
F3233,I2233,Not a strong fit for the role currently. Noted experience in Docker.,0.408
F3234,I2234,Average performance; showed potential with some gaps. Noted experience in Communication.,0.611
F3235,I2235,Average performance; showed potential with some gaps. Noted experience in NLP.,0.68
F3236,I2236,Not a strong fit for the role currently. Noted experience in NLP.,0.39
F3237,I2237,Average performance; showed potential with some gaps. Noted experience in NLP.,0.688
F3238,I2238,Not a strong fit for the role currently. Noted experience in Stakeholder Management.,0.395
F3239,I2239,"Confident presenter, handled questions well. Noted experience in Stakeholder Management.",0.87
F3240,I2240,Average performance; showed potential with some gaps. Noted experience in Power BI.,0.527
F3241,I2241,Average performance; showed potential with some gaps. Noted experience in Interviewing.,0.571
F3242,I2242,Good skills but needs more industry experience. Noted experience in Data Visualization.,0.655
F3243,I2243,Mixed answers; structure could improve. Noted experience in Data Visualization.,0.553
F3244,I2244,Communication was weak; needs improvement. Noted experience in Linux.,0.319
F3245,I2245,Good skills but needs more industry experience. Noted experience in Deep Learning.,0.645
F3246,I2246,Mixed answers; structure could improve. Noted experience in DAX.,0.608
F3247,I2247,Good skills but needs more industry experience. Noted experience in React.,0.619
F3248,I2248,Good skills but needs more industry experience. Noted experience in React.,0.551
F3249,I2249,Good skills but needs more industry experience. Noted experience in Communication.,0.522
F3250,I2250,Struggled with problem solving and coding tasks. Noted experience in DAX.,0.442
F3251,I2251,Good skills but needs more industry experience. Noted experience in Git.,0.713
F3252,I2252,Excellent technical skills; solved problems well. Noted experience in Linux.,0.803
F3253,I2253,Average performance; showed potential with some gaps. Noted experience in Git.,0.495
F3254,I2254,Mixed answers; structure could improve. Noted experience in Cloud (Azure/AWS).,0.498
F3255,I2255,"Confident presenter, handled questions well. Noted experience in SQL.",0.949
F3256,I2256,Average performance; showed potential with some gaps. Noted experience in Statistics.,0.701
F3257,I2257,"Confident presenter, handled questions well. Noted experience in Communication.",0.872
F3258,I2258,Average performance; showed potential with some gaps. Noted experience in Statistics.,0.572
F3259,I2259,Mixed answers; structure could improve. Noted experience in Communication.,0.578
F3260,I2260,Mixed answers; structure could improve. Noted experience in Statistics.,0.695
F3261,I2261,"Confident presenter, handled questions well. Noted experience in Django.",0.809
F3262,I2262,Average performance; showed potential with some gaps. Noted experience in NLP.,0.556
F3263,I2263,Good skills but needs more industry experience. Noted experience in Communication.,0.621
F3264,I2264,Strong analytical skills and clear communication. Noted experience in NLP.,0.98
F3265,I2265,Mixed answers; structure could improve. Noted experience in Excel.,0.726
F3266,I2266,Strong analytical skills and clear communication. Noted experience in Excel.,0.752
F3267,I2267,Strong analytical skills and clear communication. Noted experience in DAX.,0.795
F3268,I2268,Good skills but needs more industry experience. Noted experience in NLP.,0.512
F3269,I2269,Mixed answers; structure could improve. Noted experience in Machine Learning.,0.568
F3270,I2270,Good skills but needs more industry experience. Noted experience in NLP.,0.675
F3271,I2271,Average performance; showed potential with some gaps. Noted experience in Machine Learning.,0.521
F3272,I2272,Struggled with problem solving and coding tasks. Noted experience in Stakeholder Management.,0.342
F3273,I2273,Excellent technical skills; solved problems well. Noted experience in JavaScript.,0.827
F3274,I2274,Average performance; showed potential with some gaps. Noted experience in JavaScript.,0.53
F3275,I2275,Mixed answers; structure could improve. Noted experience in Tableau.,0.737
F3276,I2276,Mixed answers; structure could improve. Noted experience in Pandas.,0.644
F3277,I2277,Good skills but needs more industry experience. Noted experience in Interviewing.,0.575
F3278,I2278,Struggled with problem solving and coding tasks. Noted experience in Python.,0.402
F3279,I2279,"Confident presenter, handled questions well. Noted experience in Power BI.",0.852
F3280,I2280,Very good culture fit and leadership potential. Noted experience in NLP.,0.751
F3281,I2281,Average performance; showed potential with some gaps. Noted experience in NLP.,0.529
F3282,I2282,Mixed answers; structure could improve. Noted experience in NLP.,0.668
F3283,I2283,Good skills but needs more industry experience. Noted experience in React.,0.676
F3284,I2284,Excellent technical skills; solved problems well. Noted experience in Recruitment.,0.871
F3285,I2285,Average performance; showed potential with some gaps. Noted experience in SQL.,0.681
F3286,I2286,Average performance; showed potential with some gaps. Noted experience in React.,0.565
F3287,I2287,Average performance; showed potential with some gaps. Noted experience in Excel.,0.637
F3288,I2288,Communication was weak; needs improvement. Noted experience in Cloud (Azure/AWS).,0.333
F3289,I2289,Mixed answers; structure could improve. Noted experience in React.,0.707
F3290,I2290,Mixed answers; structure could improve. Noted experience in Excel.,0.658
F3291,I2291,Not a strong fit for the role currently. Noted experience in DAX.,0.431
F3292,I2292,Communication was weak; needs improvement. Noted experience in Tableau.,0.377
F3293,I2293,Good skills but needs more industry experience. Noted experience in Tableau.,0.719
F3294,I2294,Mixed answers; structure could improve. Noted experience in Recruitment.,0.573
F3295,I2295,Good skills but needs more industry experience. Noted experience in Kubernetes.,0.609
F3296,I2296,Average performance; showed potential with some gaps. Noted experience in Recruitment.,0.675
F3297,I2297,Average performance; showed potential with some gaps. Noted experience in Tableau.,0.649
F3298,I2298,Mixed answers; structure could improve. Noted experience in Kubernetes.,0.566
F3299,I2299,Very good culture fit and leadership potential. Noted experience in Kubernetes.,0.824
F3300,I2300,"Confident presenter, handled questions well. Noted experience in Interviewing.",0.898
F3301,I2301,Very good culture fit and leadership potential. Noted experience in Tableau.,0.837
F3302,I2302,Average performance; showed potential with some gaps. Noted experience in Leadership.,0.715
F3303,I2303,Good skills but needs more industry experience. Noted experience in Tableau.,0.485
F3304,I2304,"Confident presenter, handled questions well. Noted experience in Tableau.",0.792
F3305,I2305,Mixed answers; structure could improve. Noted experience in Data Visualization.,0.518
F3306,I2306,Very good culture fit and leadership potential. Noted experience in NLP.,0.98
F3307,I2307,Good skills but needs more industry experience. Noted experience in Interviewing.,0.538
F3308,I2308,"Confident presenter, handled questions well. Noted experience in Excel.",0.819
F3309,I2309,Average performance; showed potential with some gaps. Noted experience in Numpy.,0.622
F3310,I2310,Mixed answers; structure could improve. Noted experience in NLP.,0.573
F3311,I2311,Mixed answers; structure could improve. Noted experience in NLP.,0.678
F3312,I2312,Average performance; showed potential with some gaps. Noted experience in Git.,0.452
F3313,I2313,Communication was weak; needs improvement. Noted experience in Pandas.,0.404
F3314,I2314,Communication was weak; needs improvement. Noted experience in React.,0.449
F3315,I2315,Excellent technical skills; solved problems well. Noted experience in Excel.,0.98
F3316,I2316,Average performance; showed potential with some gaps. Noted experience in Data Visualization.,0.687
F3317,I2317,Good skills but needs more industry experience. Noted experience in APIs.,0.518
F3318,I2318,Struggled with problem solving and coding tasks. Noted experience in NLP.,0.27
F3319,I2319,Average performance; showed potential with some gaps. Noted experience in SQL.,0.693
F3320,I2320,Strong analytical skills and clear communication. Noted experience in Computer Vision.,0.908
F3321,I2321,Mixed answers; structure could improve. Noted experience in NLP.,0.623
F3322,I2322,Average performance; showed potential with some gaps. Noted experience in SQL.,0.659
F3323,I2323,Excellent technical skills; solved problems well. Noted experience in NLP.,0.952
F3324,I2324,Good skills but needs more industry experience. Noted experience in Flask.,0.481
F3325,I2325,Average performance; showed potential with some gaps. Noted experience in Flask.,0.471
F3326,I2326,Average performance; showed potential with some gaps. Noted experience in Deep Learning.,0.651
F3327,I2327,Good skills but needs more industry experience. Noted experience in Django.,0.624
F3328,I2328,Strong analytical skills and clear communication. Noted experience in Django.,0.766
F3329,I2329,"Confident presenter, handled questions well. Noted experience in Numpy.",0.98
F3330,I2330,"Confident presenter, handled questions well. Noted experience in Tableau.",0.864
F3331,I2331,Average performance; showed potential with some gaps. Noted experience in Git.,0.551
F3332,I2332,Good skills but needs more industry experience. Noted experience in Machine Learning.,0.457
F3333,I2333,Mixed answers; structure could improve. Noted experience in Leadership.,0.626
F3334,I2334,Mixed answers; structure could improve. Noted experience in Docker.,0.709
F3335,I2335,Excellent technical skills; solved problems well. Noted experience in Linux.,0.793
F3336,I2336,"Confident presenter, handled questions well. Noted experience in Recruitment.",0.879
F3337,I2337,Good skills but needs more industry experience. Noted experience in Linux.,0.714
F3338,I2338,Mixed answers; structure could improve. Noted experience in Docker.,0.721
F3339,I2339,Average performance; showed potential with some gaps. Noted experience in Docker.,0.523
F3340,I2340,Not a strong fit for the role currently. Noted experience in HR Policies.,0.28
F3341,I2341,Communication was weak; needs improvement. Noted experience in SQL.,0.381
F3342,I2342,Excellent technical skills; solved problems well. Noted experience in Django.,0.866
F3343,I2343,Good skills but needs more industry experience. Noted experience in Deep Learning.,0.675
F3344,I2344,Mixed answers; structure could improve. Noted experience in SQL.,0.688
F3345,I2345,Mixed answers; structure could improve. Noted experience in Git.,0.452
F3346,I2346,Average performance; showed potential with some gaps. Noted experience in React.,0.471
F3347,I2347,Good skills but needs more industry experience. Noted experience in Linux.,0.507
F3348,I2348,Good skills but needs more industry experience. Noted experience in Kubernetes.,0.703
F3349,I2349,"Confident presenter, handled questions well. Noted experience in HR Policies.",0.972
F3350,I2350,Average performance; showed potential with some gaps. Noted experience in Kubernetes.,0.572
F3351,I2351,Average performance; showed potential with some gaps. Noted experience in Linux.,0.535
F3352,I2352,Average performance; showed potential with some gaps. Noted experience in Communication.,0.505
F3353,I2353,Excellent technical skills; solved problems well. Noted experience in Machine Learning.,0.77
F3354,I2354,Struggled with problem solving and coding tasks. Noted experience in Kubernetes.,0.133
F3355,I2355,Communication was weak; needs improvement. Noted experience in Linux.,0.408
F3356,I2356,Average performance; showed potential with some gaps. Noted experience in Power BI.,0.565
F3357,I2357,Mixed answers; structure could improve. Noted experience in Stakeholder Management.,0.605
F3358,I2358,Mixed answers; structure could improve. Noted experience in React.,0.668
F3359,I2359,Strong analytical skills and clear communication. Noted experience in Numpy.,0.808
F3360,I2360,Mixed answers; structure could improve. Noted experience in HR Policies.,0.462
F3361,I2361,Good skills but needs more industry experience. Noted experience in Numpy.,0.531
F3362,I2362,Good skills but needs more industry experience. Noted experience in Numpy.,0.706
F3363,I2363,Mixed answers; structure could improve. Noted experience in Kubernetes.,0.499
F3364,I2364,Good skills but needs more industry experience. Noted experience in Django.,0.66
F3365,I2365,Good skills but needs more industry experience. Noted experience in React.,0.506
F3366,I2366,Mixed answers; structure could improve. Noted experience in Django.,0.57
